student_id,alumni_id,alumni_meetup_date
0,102,2022-12-01
1,435,
2,348,2019-02-08
3,270,2020-05-03
4,106,2021-08-02
5,71,2020-08-23
6,188,2021-04-15
7,20,2019-06-02
8,102,2020-12-22
9,121,2022-12-16
10,466,2021-05-11
11,214,2019-06-26
12,330,2021-12-14
12,458,2022-08-02
12,87,2021-12-23
13,372,2021-08-14
14,99,2021-06-25
15,359,2021-08-14
16,151,2019-12-04
17,130,2022-03-16
18,149,2022-06-29
19,308,2019-08-07
20,257,2023-03-27
20,343,2019-07-13
21,491,2022-12-26
22,413,2022-11-01
23,293,2019-01-31
23,385,2022-12-02
23,191,2019-03-28
24,443,2022-09-03
25,276,2021-06-23
26,160,2021-07-29
27,459,2021-06-08
28,313,2019-06-11
29,21,2022-12-18
30,252,2021-11-28
31,235,
32,344,2021-03-03
32,48,2022-10-28
33,474,2021-02-23
34,58,2019-12-18
35,169,2019-11-24
35,475,2021-07-28
36,187,2022-09-18
37,463,2021-03-20
38,270,2021-03-21
39,189,2021-07-14
40,445,2019-04-08
41,174,2021-09-06
42,445,2023-03-05
43,50,2021-08-09
44,363,2019-06-30
45,54,2019-10-29
45,243,2021-10-30
46,319,2022-11-04
46,130,2023-04-22
47,484,2019-07-24
48,306,2020-04-06
49,134,2021-03-06
50,20,2019-07-13
51,328,2022-12-08
52,166,2023-09-12
53,273,2022-04-02
54,387,2021-07-29
55,88,2019-11-19
56,315,2022-01-09
57,13,2022-11-18
58,241,2023-04-22
58,264,2022-05-18
58,345,2019-08-26
58,52,2019-09-23
59,385,2020-01-24
59,339,2020-10-02
60,91,2020-03-12
61,366,2021-05-06
61,443,2021-09-26
62,454,2021-03-06
63,427,
64,263,2020-08-29
64,430,2020-04-08
65,34,2023-07-30
66,205,2021-06-23
67,80,2022-11-29
68,419,2021-01-06
69,49,2020-02-27
69,359,2019-06-18
70,387,2021-01-18
71,1,2020-04-03
72,389,2020-06-04
73,53,2022-05-22
74,105,2021-08-27
75,259,2023-08-29
76,309,2021-07-16
77,476,2020-09-05
78,190,2019-08-08
78,401,2021-10-20
79,217,2023-09-07
80,43,2021-01-26
81,161,2023-09-15
82,201,2019-11-10
83,445,2019-01-27
84,483,2019-02-11
84,269,2022-07-02
85,350,2019-07-20
86,303,2020-12-29
87,270,2019-10-22
88,455,2021-02-21
89,461,2020-08-29
90,214,2022-04-09
91,251,2021-11-21
92,189,2021-10-22
93,295,2021-04-06
94,212,2018-12-08
95,207,2020-03-18
96,236,2021-01-09
97,337,2022-10-19
98,366,2023-07-19
99,52,2023-05-01
100,279,2020-11-03
101,409,2021-09-27
102,216,2022-11-29
103,251,2021-01-14
104,187,2019-09-23
105,379,2020-02-27
106,492,2022-07-13
107,40,2021-09-01
108,156,2023-03-27
109,14,2021-02-19
110,300,2023-06-15
111,64,2020-11-14
112,344,2019-12-13
113,326,2021-06-01
113,8,2023-05-20
114,343,2020-04-06
115,128,2019-07-20
116,491,2022-04-07
117,135,2019-09-16
118,471,2022-04-04
119,62,2020-07-04
120,138,2021-07-10
121,498,2020-02-05
122,80,2022-11-24
123,391,2021-09-06
124,162,2023-05-04
125,418,2021-11-26
126,288,2020-08-05
127,378,2022-05-20
128,260,
129,489,2022-05-11
130,230,2020-10-23
131,40,2020-08-28
132,27,2022-12-04
133,134,2019-03-24
133,200,2019-12-08
134,327,2020-06-18
134,267,
135,417,2020-08-20
136,32,
137,47,2020-08-22
138,406,2023-07-17
139,61,2023-08-27
140,215,2021-05-24
141,292,2019-05-09
142,98,2021-07-03
143,171,2022-05-18
144,359,2021-05-01
145,213,
146,474,2021-08-28
147,34,2019-12-19
148,448,2020-09-14
149,226,2021-12-26
150,100,2019-06-29
151,430,2020-04-22
152,461,2020-04-06
153,130,2022-08-20
154,256,2022-04-13
155,4,2022-04-06
156,217,2019-12-14
157,254,2022-03-25
158,397,2022-07-26
159,358,2020-05-24
160,282,2021-11-09
161,392,2023-04-25
162,206,
163,14,2020-02-18
164,345,2022-02-23
164,41,
164,379,2020-02-11
165,460,2020-05-18
166,178,2022-02-15
167,62,2023-10-27
168,351,2023-05-27
169,230,2019-01-13
170,240,2020-04-01
171,51,2019-09-05
172,95,2020-12-12
173,387,2019-05-31
174,221,2022-10-19
174,484,2019-10-14
174,406,2021-02-13
175,230,2023-01-05
176,236,2020-06-03
177,142,2020-11-07
178,170,2020-04-10
179,28,2023-05-27
180,35,2022-12-22
180,12,2019-08-11
181,159,2020-06-05
182,326,2022-07-02
182,186,2019-11-29
183,242,2020-08-04
183,85,2019-09-15
184,283,2021-12-18
185,65,
187,169,2019-07-31
188,44,2022-11-26
189,61,2019-02-02
190,440,2022-04-04
191,133,2022-10-28
192,283,2018-11-29
193,27,2022-10-05
194,107,2022-02-26
195,43,2020-01-26
196,339,2018-11-19
197,285,2021-06-14
198,445,2021-11-28
